Time (t),Market Demand M(t)
13.600000000000001,150.3240340255896
13.700000000000001,150.59407312371883
13.8,150.86296850153752
13.9,151.13072587764722
14.0,151.39735094205648
14.100000000000001,151.6628493563238
14.200000000000001,151.92722675369987
14.3,152.19048873926917
14.4,152.45264089009075
14.5,152.71368875533832
14.600000000000001,152.97363785643975
14.700000000000001,153.2324936872158
14.8,153.49026171401806
14.9,153.74694737586643
15.0,154.00255608458565
15.100000000000001,154.25709322494137
15.200000000000001,154.51056415477544
15.3,154.76297420514044
15.4,155.01432868043372
15.5,155.26463285853063
15.600000000000001,155.51389199091716
15.700000000000001,155.76211130282186
15.8,156.00929599334717
15.9,156.25545123559993
16.0,156.50058217682155
16.1,156.74469393851717
16.2,156.98779161658442
16.3,157.22988028144144
16.400000000000002,157.47096497815429
16.5,157.71105072656366
16.6,157.9501425214111
16.7,158.1882453324644
16.8,158.42536410464254
16.900000000000002,158.6615037581399
17.0,158.89666918854988
17.1,159.1308652669879
17.2,159.36409684021388
17.3,159.5963687307538
17.400000000000002,159.82768573702114
17.5,160.05805263343726
17.6,160.2874741705514
17.7,160.51595507516006
17.8,160.7435000504258
17.900000000000002,160.97011377599532
18.0,161.1958009081171
18.1,161.42056607975837
18.2,161.64441390072153
18.3,161.86734895776
18.400000000000002,162.08937581469337
18.5,162.31049901252217
18.6,162.53072306954195
18.7,162.75005248145672
18.8,162.96849172149203
18.900000000000002,163.18604524050727
19.0,163.40271746710755
19.1,163.61851280775494
19.200000000000003,163.8334356468792
19.3,164.04749034698793
19.400000000000002,164.26068124877622
19.5,164.4730126712357
19.6,164.68448891176297
19.700000000000003,164.89511424626772
19.8,165.10489292928006
19.900000000000002,165.31382919405743
20.0,165.52192725269103
20.1,165.72919129621155
20.200000000000003,165.9356254946946
20.3,166.1412339973653
20.400000000000002,166.34602093270277
20.5,166.54999040854366
20.6,166.75314651218545
20.700000000000003,166.95549331048915
20.8,167.15703484998144
20.900000000000002,167.35777515695636
21.0,167.55771823757652
21.1,167.75686807797368
21.200000000000003,167.95522864434898
21.3,168.1528038830725
21.400000000000002,168.3495977207825
21.5,168.54561406448406
21.6,168.74085680164723
21.700000000000003,168.9353298003047
21.8,169.12903690914897
21.900000000000002,169.32198195762913
22.0,169.51416875604698
22.1,169.70560109565287
22.200000000000003,169.89628274874082
22.3,170.08621746874343
22.400000000000002,170.27540899032616
22.5,170.46386102948105
22.6,170.6515772836203
22.700000000000003,170.83856143166895
22.8,171.02481713415747
22.900000000000002,171.21034803331366
23.0,171.39515775315417
23.1,171.5792498995756
23.200000000000003,171.762628060445
23.3,171.94529580569017
23.400000000000002,172.1272566873892
23.5,172.30851423985987
