Time (t),Cumulative Profit J_1(t),Cumulative Profit J_2(t)
11.422845691382767,53.99380160920576,54.66682348419894
11.52304609218437,54.430854207507004,55.10986116708359
11.623246492985972,54.8668326571818,55.55181550226875
11.723446893787575,55.301731259393904,55.99268063039834
11.823647294589179,55.73554445412383,56.432450833793965
11.923847695390782,56.168266818375116,56.871120534626336
12.024048096192384,56.59989306440041,57.30868429310697
12.124248496993989,57.030418037947385,57.74513680569994
12.224448897795591,57.45983671652404,58.18047290335358
12.324649298597194,57.88814420768345,58.614687549751864
12.424849699398798,58.31533574732757,59.047775839585185
12.525050100200401,58.74140669802988,59.47973299684045
12.625250501002004,59.166352547376825,59.91055437311033
12.725450901803608,59.5901689063278,60.34023544592116
12.82565130260521,60.01285150759329,60.76877181707972
12.925851703406813,60.434396204031344,61.196159211038385
