Time,Firm_A_X,Firm_A_Y,Firm_B_X,Firm_B_Y
3.45,-17.993794513274974,-12.020091265172534,15.155112388229226,18.157727622123478
3.5,-17.860689725807404,-11.931623558355179,15.043297716699497,18.023227642628992
3.5500000000000003,-17.728583224245533,-11.843819359338676,14.932321655205936,17.889736412980433
3.6,-17.597467521445065,-11.756673691814514,14.822177914173267,17.757246367553957
3.6500000000000004,-17.46733518641529,-11.6701816167965,14.71286025119803,17.6257499974679
3.7,-17.338178843897925,-11.584338232340835,14.604362470694795,17.495239850157198
3.75,-17.209991173949124,-11.4991386732683,14.496678423545017,17.36570852895104
3.8000000000000003,-17.08276491152462,-11.41457811088852,14.389802006748544,17.237148692653637
3.85,-16.95649284606798,-11.330651752726297,14.283727163077724,17.109553055128174
3.9000000000000004,-16.831167821101943,-11.247354842249996,14.178447880734113,16.98291438488386
3.95,-16.706782733822823,-11.16468265860197,14.073958193007753,16.85722550466608
4.0,-16.58333053469797,-11.082630516331006,13.970252177939013,16.732479291049636
4.05,-16.460804227066223,-11.001193765126775,13.86732395798296,16.608668674035012
4.1000000000000005,-16.339196866741382,-10.920367789556272,13.765167699676242,16.4857866366477
4.15,-16.21850156161864,-10.840148008802242,13.663777613306491,16.363826214540484
4.2,-16.098711471283984,-10.76052987640356,13.563147952584176,16.242780495598765
4.25,-15.979819806626498,-10.681508879997558,13.463273014316938,16.1226426195488
4.3,-15.8618198294536,-10.60308054106429,13.364147138086361,16.003405777568897
4.3500000000000005,-15.744704852109153,-10.525240414672709,13.265764705927168,15.88506321190353
4.4,-15.628468237094443,-10.447984089228747,13.168120142008823,15.767608215480337
4.45,-15.513103396691994,-10.371307186225296,13.071207912319515,15.651034131529999
4.5,-15.39860379259221,-10.295205359994052,12.975022524352525,15.535334353208968
4.55,-15.284962935522818,-10.219674297459218,12.879558526794932,15.420502323225023
4.6000000000000005,-15.17217438488109,-10.144709717893068,12.784810509218664,15.30653153346563
4.65,-15.060231748368816,-10.070307372673337,12.690773101773857,15.193415524629106
4.7,-14.94912868163002,-9.996463045042423,12.597440974884522,15.081147885858524
4.75,-14.8388588878914,-9.92317254986841,12.504808838946492,14.96972225437839
4.800000000000001,-14.72941611760545,-9.850431733407865,12.412871444027628,14.85913231513402
4.8500000000000005,-14.620794168096273,-9.778236473070436,12.321623579570286,14.749371800433646
4.9,-14.512986883208042,-9.706582677185198,12.231060074096,14.640434489593185
4.95,-14.405988152956096,-9.635466284768757,12.141175794912394,14.532314208583685
5.0,-14.29979191318066,-9.564883265295094,12.051965647822287,14.425004829681411
