Time,Enterprise_1_Production_Scale,Enterprise_2_Production_Scale
12.8,21.79501344696321,21.900831530728098
12.9,21.894207928644516,22.001408630791595
13.0,21.993310922725282,22.1019012401269
13.100000000000001,22.092317600616617,22.202304440570558
13.200000000000001,22.191223152381156,22.302613331279527
13.3,22.29002278765527,22.402823029677613
13.4,22.388711736563277,22.502928672394376
13.5,22.487285250623177,22.60292541619613
13.600000000000001,22.585738603643687,22.702808438908676
13.700000000000001,22.684067092612093,22.802572940331395
13.8,22.782266038572683,22.90221414314233
13.9,22.880330787495335,23.001727293793916
14.0,22.978256711133987,23.101107663399
14.100000000000001,23.076039207874633,23.200350548606828
14.200000000000001,23.173673703572536,23.299451272468637
14.3,23.27115565237835,23.39840518529255
14.4,23.36848053755283,23.49720766548742
14.5,23.46564387226986,23.59585412039537
14.600000000000001,23.562641200407512,23.694339987112663
14.700000000000001,23.6594680973268,23.792660733298632
14.8,23.756120170637963,23.890811857972395
14.9,23.852593060953897,23.98878889229705
15.0,23.94888244263057,24.086587400351082
15.100000000000001,24.04498402449414,24.184202979886752
15.200000000000001,24.140893550554537,24.28163126307516
15.3,24.23660680070528,24.378867917237773
15.4,24.332119591409334,24.475908645564193
15.5,24.427427776370767,24.572749187815884
15.600000000000001,24.522527247192023,24.669385321015696
15.700000000000001,24.617413934016625,24.765812860122953
15.8,24.71208380615711,24.862027658693904
15.9,24.806532872708047,24.958025609527347
16.0,24.90075718314394,25.053802645295256
16.1,24.99475282790191,25.149354739158234
16.2,25.08851593894895,25.244677905365613
16.3,25.182042690333716,25.339768199840094
16.400000000000002,25.275329298722607,25.434621720746737
16.5,25.368372023920116,25.529234609046185
16.6,25.461167169373315,25.623603049032024
16.7,25.553711082660353,25.71772326885213
16.8,25.646000155962938,25.81159154101392
16.900000000000002,25.738030826522653,25.90520418287341
17.0,25.829799577081122,25.99855755710798
17.1,25.92130293630389,26.091648072172823
17.2,26.01253747918802,26.18447218274094
17.3,26.10349982745336,26.277026390126686
17.400000000000002,26.194186649917427,26.369307242692788
17.5,26.284594662853923,26.46131133624082
17.6,26.37472063033483,26.553035314385088
17.7,26.464561364556126,26.644475868909932
17.8,26.554113726147097,26.735629740110408
17.900000000000002,26.64337462446328,26.82649371711638
18.0,26.73234101786304,26.917064638200017
18.1,26.82100991396784,27.0073393910667
18.2,26.909378369906225,27.097314913129402
18.3,26.997443492541592,27.186988191766545
18.400000000000002,27.085202438683766,27.276356264563407
18.5,27.17265241528448,27.365416219537096
18.6,27.25979067961686,27.454165195345183
18.7,27.346614539438896,27.542600381478067
18.8,27.43312135314112,27.63071901843512
18.900000000000002,27.51930852987849,27.718518397884726
19.0,27.605173529686613,27.805995862808295
19.1,27.690713863582452,27.89314880762835
